"ticket_id","ticket_name","full_thread_text"
"21094199","Request to Confirm or Reset FileZilla Credentials","[2026-03-20 07:39 | Sreya Johny] Customer Added a Review on this ticket"
[2026-02-25 07:22 | VIKKI CARLSON] Here is a screenshot of the error code. Vikki Carlson Laurel City Clerk/Treasurer City of Laurel 302 E 2nd St Laurel, NE 68745 Office 402-256-3112 Fax – 402-256-9120

[2026-02-26 05:58 | Susan Thomas] called, no answer.

[2026-02-26 05:59 | Susan Thomas] Hi Vikki, I tried calling you but there was no answer. If you still need assistance with this issue, please let us know.

[2026-02-26 08:15 | VIKKI CARLSON] Susan Yes, we still need help with this. Vikki Carlson Laurel City Clerk/Treasurer City of Laurel 302 E 2nd St Laurel, NE 68745 Office 402-256-3112 Fax – 402-256-9120

[2026-02-26 09:14 | Susan Thomas] Hi Vikki, I tried calling again and it kept ringing.

[2026-02-27 03:10 | Susan Thomas] I connected with Vikki remotely and we deleted the vendor work file before re‑entering the payable. When we attempted the process again, the same error appeared. We reviewed the file path and noticed it was incorrect. After selecting the correct path, the process completed successfully and Vikki verified the results. Vikki then created another invoice for a different vendor, and that transaction also went through without issues using the updated path.

[2026-02-27 03:36 | cust] Customer Added a Review on this ticket

[2026-02-27 04:27 | Susan Thomas] Hi Vikkie, I’m sorry to hear that you’re experiencing delays in response time. I did call you three times yesterday, but the calls continued to ring without connecting. That’s when I reached out to you directly through the ticket, and you responded there. I tried calling again afterward, but it still continued to ring. If you have an alternative number we can reach you at, please send it to us so we can add it to your account and try that number if this happens again."
"21049564","Meter is missing readings","[2026-02-25 04:37 | KATIE GRIFFIS] I have two accounts that are missing readings. One of the accounts moved out on 2/19 and moved into a new location with a different meter and the other account is the new customers that moved into the other customers old location. I can't seem to get this fixed and I feel like I am messing it up more than it was!! I am trying to get the utility bills finalized to print this afternoon."
"21049345","Utility Bills","[2026-02-25 03:44 | Tricia Kuszak] we have a customer who is commercial and it appears to be that their sewer amount is extreme.

[2026-02-25 04:07 | Emelia De Smet-Bacon] Good morning Tricia, Can you please send us a screenshot of this customer's history tab under Customer Lookup?

[2026-02-25 04:44 | Tricia Kuszak] Tricia Kuszak Deputy Clerk City of Loup City

[2026-02-25 06:29 | Emelia De Smet-Bacon] Called and spoke with Tricia. Reviewed the commercial sewer rate. It was still set to metered by water after our sewer average updates 2 weeks ago. Edited the rate, recomputed charges, reprinted an updated bill."
"21049558","charge/print one bill - acct 00014938","[2026-02-25 03:36 | Lindsay Jones] i charged/printed my bill run yesterday, 2/24 but one account number came back with an error when i closed the books. so i made the error acct, 00014938 inactive in order to complete my task. i now need assistance with charging and printing this one particual acct and understanding why the error occured.

[2026-02-25 04:36 | Lindsay Jones] i charged/printed my bill run yesterday, 2/24 but one account number came back with an error when i closed the books. so i made the error acct, 00014938 inactive in order to complete my task. i now need assistance with charging and printing this one particual acct and understanding why the error occured.

[2026-03-06 04:43 | Tony Williams] @Sachin Yadav - Check this out when you get a chance. It's from last week.

[2026-03-06 05:43 | Tony Williams] @Sachin Yadav - Check this out when you get a chance. It's from last week.

[2026-03-06 07:45 | Sachin Yadav] Hi Lindsay, We can set up a call to discuss the issue.

[2026-03-06 08:45 | Sachin Yadav] Hi Lindsay, We can set up a call to discuss the issue.

[2026-03-09 02:01 | Lindsay Jones] i am available today between 10am-11am (central time). does this work for you?

[2026-03-09 03:01 | Lindsay Jones] i am available today between 10am-11am (central time). does this work for you?

[2026-03-10 04:07 | Lindsay Jones] can we please button this up today?

[2026-03-10 05:07 | Lindsay Jones] can we please button this up today?

[2026-03-12 07:41 | Sachin Yadav] Hi Linsday, I tried to call you and left a voicemail. Please let me know when you would be available to schedule this call.

[2026-03-12 08:41 | Sachin Yadav] Hi Linsday, I tried to call you and left a voicemail. Please let me know when you would be available to schedule this call.

[2026-03-19 10:16 | Sachin Yadav] Hi Linsday, I tried to call you and left a voicemail. Please let me know when you would be available to schedule this call."
"21049439","Beloit - PM Mass Meter Project","[2026-02-25 03:13 | Debra Laskowski] Sold a Mass Meter Project Service Description: This quote defines the work to be performed by inHANCE, an incorporated division of N. Harris Computer Corporation, to create an application for a mass meter change out for the City of Beloit. Scope Of Work: · City of Beloit will provide a CSV file, no header row, with the following fields (per screenshot below): Column 3 - Old meter number Column 4 - Old meter reading Column 5 - New meter number Column 8 - New meter latitude Column 9 - New meter longitude Column 10 - Meter change date Harris will provide and install a PowerManager application, accessible on the desktop, to process the completed CSV · Harris will provide the City of Beloit with training to use new application · Harris will assist with facilitating communication with Meter Swap (their 3rd party vendor) · City of Beloit will be responsible for providing the completed CSV with meter data in the same format as the provided example or process will not work · Harris will promote the changes to Test environment · Harris will provide User Acceptance Testing (UAT) support · Upon City of Beloit’s approval, promote to Live environment · City of Beloit is responsible for processing future CSV files by running the importer application Assigning ticket to Professional Services to track the project

[2026-02-25 03:14 | Emelia De Smet-Bacon] Dear SHELLI ANDERSON,

[2026-02-25 04:13 | Debra Laskowski] Sold a Mass Meter Project Service Description: This quote defines the work to be performed by inHANCE, an incorporated division of N. Harris Computer Corporation, to create an application for a mass meter change out for the City of Beloit. Scope Of Work: · City of Beloit will provide a CSV file, no header row, with the following fields (per screenshot below): Column 3 - Old meter number Column 4 - Old meter reading Column 5 - New meter number Column 8 - New meter latitude Column 9 - New meter longitude Column 10 - Meter change date

[2026-02-25 04:14 | cust] Dear SHELLI ANDERSON, Our team will review the agreement and assign a Project Manager, who will reach out to introduce themselves and schedule your project kick-off call. This ticket will serve as the central place for communication throughout the delivery of the scope outlined in the contract. If you have any questions in the meantime, please don’t hesitate to reach out—I’m happy to help. We look forward to working with you! Shaena Robertson Director of Professional Services

[2026-02-26 04:50 | Emelia De Smet-Bacon] Good afternoon Shelli, I know we are trying to move this project along as quickly as possible, so I'd like to propose to have the kickoff meeting with Dan from Meter Swap. We can make sure we're all on the same page as far as the City of Beloit's needs and the project expectations. We can answer any of Dan's questions so he can jump straight into whatever he needs to do on his end. The earliest time we have available is Monday, 3/2 from 4:00-5:00pm CST Wednesday, 3/4 from 10:00-11:00am CST Please let us know if either of these times work for you and Dan and we'll send an invite out.

[2026-02-26 05:50 | Emelia De Smet-Bacon] Good afternoon Shelli, I know we are trying to move this project along as quickly as possible, so I'd like to propose to have the kickoff meeting with Dan from Meter Swap. We can make sure we're all on the same page as far as the City of Beloit's needs and the project expectations. We can answer any of Dan's questions so he can jump straight into whatever he needs to do on his end. The earliest time we have available is Monday, 3/2 from 4:00-5:00pm CST Wednesday, 3/4 from 10:00-11:00am CST Please let us know if either of these times work for you and Dan and we'll send an invite out.

[2026-02-26 06:48 | SHELLI ANDERSON] Monday 3/2 sounds great please. Shelli Anderson City of Beloit PO Box 567, 119 N Hersey Beloit, KS 67420 785-738-3551

[2026-02-26 07:48 | SHELLI ANDERSON] Monday 3/2 sounds great please. Shelli Anderson City of Beloit PO Box 567, 119 N Hersey Beloit, KS 67420

[2026-03-02 09:21 | Emelia De Smet-Bacon] External kickoff meeting with myself, Shelli, and Dan from Meter Swap. Discussed the project, went over the contract, specifically the SOW. Dan's software will create and provide Shelli with the CSV. We installed the importer application and created a desktop shortcut for Shelli to use once Dan provides her with the CSV. Shelli understands and feels comfortable with using the importer application. Shelli will give Dan an updated User Defined meter listing report so he has that information for his purposes. Advised Dan, from the User Defined meter listing from Shelli, we can use the rate key to map which meter records are demand (*and therefore expecting 2 readings vs 1). Shelli and I listed all demand-related meters and provided them to Dan. Shelli identified the SocketID and MeterID are both unique identifiers. Outstanding question from Dan for our programmers: how does the MMCO import file account for demand readings? More specially it is one demand reading in addition to the one KWH reading already there. I will reach out to the team to try to get an answer ASAP. Dan will try to get his side of things completed by the end of this week.

[2026-03-02 10:21 | Emelia De Smet-Bacon] External kickoff meeting with myself, Shelli, and Dan from Meter Swap. Discussed the project, went over the contract, specifically the SOW. Dan's software will create and provide Shelli with the CSV. We installed the importer application and created a desktop shortcut for Shelli to use once Dan provides her with the CSV. Shelli understands and feels comfortable with using the importer application. Shelli will give Dan an updated User Defined meter listing report so he has that information for his purposes. Advised Dan, from the User Defined meter listing from Shelli, we can use the rate key to map which meter records are demand (*and therefore expecting 2 readings vs 1). Shelli and I listed all demand-related meters and provided them to Dan. Shelli identified the SocketID and MeterID are both unique identifiers. Outstanding question from Dan for our programmers: how does the MMCO import file account for demand readings? More specially it is one demand reading in addition to the one KWH reading already there. I will reach out to the team to try to get an answer ASAP. Dan will try to get his side of things completed by the end of this week.

[2026-03-03 07:14 | Emelia De Smet-Bacon] Copying from Outlook: Hi Emelia, We’ll have our part done and you’ll have your file exactly as requested, without the KW reading. No change order needed. If you decide to import the KW reading later, we’ll do our

[2026-03-03 08:14 | Emelia De Smet-Bacon] Copying from Outlook: Hi Emelia, We’ll have our part done and you’ll have your file exactly as requested, without the KW reading. No change order needed. If you decide to import the KW reading later, we’ll do our @'jmarsh': We will be ready for Advanced Meter to start meter exchanges on Monday. I leave it to everyone else to decide if you want Jeff to deploy crews. @'Shelli Anderson': Is the new meter inventory you sent us still the ones you want us to use? If not, please send a new file for the inventory. Dan Block (M) 925.216.8180 dan@meterswap.com Let’s just wait for an answer, I hate to prolong things but I would like to avoid a change order at the same time. Shelli Anderson City of Beloit PO Box 567, 119 N Hersey Beloit, KS 67420 Dan, I understand that you can’t wait until Thursday to guarantee delivery on Friday. Beloit’s contract states the CSV must be in the exact format provided. If additional adjustments and programming changes are needed because of a new file layout, that is outside of the contract’s scope and would trigger a change order. Shelli, please provide your input here. Would you prefer to wait to avoid a potential change order or have Dan proceed with his suggestion? Emelia De Smet‑Bacon ​​​​

[2026-03-06 01:51 | Emelia De Smet-Bacon] Pasting from Outlook: Here’s an example with two meters: one expecting a standard kWh reading and the other expecting two demand readings (kWh and kW). For meter number 54237521, which expects two readings, you’ll see it appear twice in the export file. All the information related to this demand meter is duplicated in both rows, except for the readings themselves: each row contains one of the two readings (kWh in one, kW in the other). This allows us to capture both demand values without altering the layout or structure required by the contract. Let me know if you have any questions or need further clarification.

[2026-03-06 02:51 | Emelia De Smet-Bacon] Pasting from Outlook: Here’s an example with two meters: one expecting a standard kWh reading and the other expecting two demand readings (kWh and kW). For meter number 54237521, which expects two readings, you’ll see it appear twice in the export file. All the information related to this demand meter is duplicated in both rows, except for the readings themselves: each row contains one of the two readings (kWh in one, kW in the other). This allows us to capture both demand values without altering the layout or structure required by the contract. Let me know if you have any questions or need further clarification. Sorry but I have no clue what you are asking for. Can you send me an example of what it is that you expect. If I have two KWH meters, and ONE KW meter, what would the export file look like? Dan Block (M) 925.216.8180 dan@meterswap.com Good afternoon, To account for demand readings, please include two rows with all info duplicated except the 2nd reading information. Emelia De Smet‑Bacon ​​​​

[2026-03-10 07:17 | Emelia De Smet-Bacon] Gave Mitch M a backup of Beloit's data and the test file from MeterSwap (attached). Mitch said he would test it properly on Thursday, 3/12. Pasting from Outlook Sure, it is attached and on FTP site. It should be exactly as requested but I need to know ASAP if this format is not what you expect. Please follow the instructions below to install our MeterSwap application for use. You may have to involve your IT department if you are blocked from accessing our site. Don’t hesitate to contact me if you have any questions. You will also need FTP access to your data files. Daily, your billing files will be processed and sent to our secure FTP site. We use and recommend WinSCP, but you can use any FTP client you are familiar with. FTP ACCESS While you can use most any FTP client, here is the one we recommend, free of charge. WinSCP: Here are the credentials you need to use to access our site with any FTP client. I will send you the password in another email. User name: BeloitUser26 Dan Block (M) 925.216.8180 dan@meterswap.com

[2026-03-10 08:17 | Emelia De Smet-Bacon] Gave Mitch M a backup of Beloit's data and the test file from MeterSwap (attached). Mitch said he would test it properly on Thursday, 3/12. Pasting from Outlook Sure, it is attached and on FTP site. It should be exactly as requested but I need to know ASAP if this format is not what you expect. Please follow the instructions below to install our MeterSwap application for use. You may have to involve your IT department if you are blocked from accessing our site. Don’t hesitate to contact me if you have any questions. You will also need FTP access to your data files. Daily, your billing files will be processed and sent to our secure FTP site. We use and recommend WinSCP, but you can use any FTP client you are familiar with. FTP ACCESS While you can use most any FTP client, here is the one we recommend, free of charge. WinSCP: Here are the credentials you need to use to access our site with any FTP client. I will send you the password in another email. User name: BeloitUser26 Dan Block (M) 925.216.8180 dan@meterswap.com Ok sounds good. Would it be possible to get a test file from you? Emelia De Smet‑Bacon ​​​​

[2026-03-12 02:51 | Emelia De Smet-Bacon] Pasting from Outlook: Good morning Shelli, The testing is complete, there was nothing we needed to do on your system. I’ve sent the results to you and Dan in a separate email. There is one item I wanted to mention as we’re talking about demand meters. Just like the regular PowerManager meter change out application, this custom application will transfer much of the old meter information to the new meter (such as latitude, multiplier, and radio ID). I mention this because often, as you know with demand meters, the multiplier is more than 1. So, it’s something to keep in mind as you work through these change outs. It’s possibly a good idea to verify your demand meters have the right multiplier after a change out.

[2026-03-12 03:51 | Emelia De Smet-Bacon] Pasting from Outlook: Good morning Shelli, The testing is complete, there was nothing we needed to do on your system. I’ve sent the results to you and Dan in a separate email. There is one item I wanted to mention as we’re talking about demand meters. Just like the regular PowerManager meter change out application, this custom application will transfer much of the old meter information to the new meter (such as latitude, multiplier, and radio ID). I mention this because often, as you know with demand meters, the multiplier is more than 1. So, it’s something to keep in mind as you work through these change outs. It’s possibly a good idea to verify your demand meters have the right multiplier after a change out. Dan, I do have this software already installed and ready to go on our system. Emelia, are you doing this test or are we trying things out on my system. Can we get this scheduled, I am in and out of the office this week and working remotely as needed. I really want to get this all done. They will begin this project Monday. I have a Vision rep here tomorrow to train staff. I am in the office this afternoon and tomorrow afternoon. Please reach back out to me. Shelli Anderson City of Beloit PO Box 567, 119 N Hersey Beloit, KS 67420 Sent from me 9:00am on 3/12: Good morning all, We have tested the file and found that lines 1 and 2 have the correct order of readings: kWh first followed by kW demand. However, lines 3 and 4 have the opposite order of readings: kW demand first followed by kWh. Besides that, the rest of the data & format look good. As for the FTP site, that is Shelli’s responsibility to retrieve the file to be imported. I ask that Emila not only test the sample I sent, but also confirm she can access our FTP site to download the billing files (unless that is your job to do). There is one file out there, which is the test file I sent. You are welcome to delete this file so it isn’t accidentally loaded into your production system. I will try to remember to delete it prior to project start, but wanted you to be able to test FTP access and download. If you don’t get the “Nothing to process” email starting tomorrow please let me know. Dan Block (M) 925.216.8180 dan@meterswap.com Ok, this is what I know as of today: What date will Advanced Meter start exchanging meters? Monday, March 16th What time would you like us to process the prior day’s work? We generally will process around 10-11am (in your time zone) the business day after the work is performed to give you time to review and enter readings for bad displays. I believe that this will work for me also, let’s say 11am please. Please indicate approximate time and your time zone 11 am Central time zone Our processing will send an email indicating when data has been sent. Who would you like to be copied on this email? My email address: sanderson@beloitks.org Our processing will send an email indicating when no meters were worked the prior business day. Who would you like to be copied on this email? sanderson@beloitks.org For your project, I need to know the following: What date will Advanced Meter start exchanging meters? We generally will process around 10-11am (in your time zone) the business day after the work is performed to give you time to review and enter readings for bad displays Please indicate approximate time and your time zone Our processing will send an email indicating when data has been sent. Who would you like to be copied on this email? Our processing will send an email indicating when no meters were worked the prior business day. Who would you like to be copied on this email? Last, please confirm that the sample export file I sent to Emelia will work.

[2026-03-17 02:34 | SHELLI ANDERSON] They have just began to swap out meters. I am needing to export our customer file into the Vision system to get things off and running before we get to far into things. They have done 87 meters yesterday. I have a test file on my desktop for this i believe.

[2026-03-17 03:46 | Emelia De Smet-Bacon] Good morning Shelli, Great to hear they're getting those swapped. Just to confirm, you need an export for the Vision system and not MeterSwap's software?

[2026-03-17 04:25 | SHELLI ANDERSON] That is correct. I believe I already have it done and I my desktop but I would like to just double check things before I go ahead and load it into Vision. There is a lot going on with all of this, just trying to keep it all straight now. Shelli Anderson City of Beloit PO Box 567, 119 N Hersey Beloit, KS 67420 785-738-3551

[2026-03-17 04:26 | SHELLI ANDERSON] I have two tickets open, am I logging this on the wrong one??

[2026-03-17 04:35 | Emelia De Smet-Bacon] Shelli, It's perfectly ok, the ticket for the Vision project is 107773 but no worries! Have you already used the mass meter change out application for those ~87 or so that are swapped? Did you have any trouble with using the app with Dan's file? I will respond about the Vision on the Vision ticket."
