"ticket_id","ticket_name","full_thread_text"
"21086114","Webshare Setup Testing","[2026-03-17 02:54 | Tyler Silvernail] 64.156.71.82,1433\MSSQLSERVER; database=oasis_PS_test;User Id=WebShareUser;Password=IOtkoPgRgtLMJG

[2026-03-17 03:28 | Tyler Silvernail] URL to Bremerton Webshare is not working. Logged into the webserver and grabbed the string, logged in via SSMS but there are no tables named websharesettings or websharecontrols. SELECT name AS TableName FROM sys.tables WHERE name LIKE '%web%'; None of the ASPNET roles are there either.

[2026-03-17 05:17 | Tyler Silvernail] Hi Shaena, I looked into Bremerton some more after we spoke this morning. Not sure what's going on but this is what I found: The webshare user is still active and the IP address/server string can connect to their server from our webserver via ssms. However, none of the tables that are needed for webshare to operate are in any of the databases (websharecontrols, websharesettings). Neither are the ASPNET roles needed. The install ticket confirmed that the scripts were ran (installed sometime in Sept) I looked through the rest of their tickets in TS, there have been a number of version upgrades/server migrations etc, so maybe during one of those instances the newly installed tables were dropped. I dont know. I am not familiar with webshare installs for Impresa. The table names and scripts are different than BM. T"
"21086063","Printers no longer show up in Impresa.","[2026-03-17 02:41 | Lisa Ward] Yesterday, all of the printers disappeared in Impresa. They only have the choice to print to PDF or OneNote. They can print from anything else.

[2026-03-17 05:12 | Lisa Ward] Adjusted settings on each computer to Microsoft Basic Printing Redirection. Then, on Client Printer preferences verified it was set to Use Client Preferences for all Printers."
"21085697","audit reversal","[2026-03-17 01:21 | Lynett Sloan] I had to do an audit reversal and it done it twice how do i correct this? I have billing to do this morning.

[2026-03-17 01:57 | Jimmy Biondo] since it was reversed twice we cannot reverse the reversal audit because it contains both reversals. She will have to manually fix by reentering the original flawed audit."
"21085677","Closing Reading Book","[2026-03-17 01:17 | Amber Clemons] Trying to close reading books and I keep getting the error below."
"21085649","late notice has graph when it shouldn&apos;t","[2026-03-17 01:11 | Sacha Pizzimenti] The Second Notice that we generate is not supposed to have a graph on it (see attachment) but when we send the file to DFI they include a graph on the late notice. The InvoiceCloud invoice does not have a graph."
"21085627","[EXTERNAL]Open Ticket for help","[2026-03-17 03:26 | Sachin Yadav] We set up a new account for Kim Bankert and granted her limited access to use ISB. For the Installation of ISB on Kim's new machine, we have the old ticket TS#110552, which I am currently working on. Closing this ticket as resolved!"
"21085533","Callaway - after update new bills don&apos;t print missing info need help ASAP","[2026-03-17 00:36 | Shaena Robertson] Teresa, \n \nI need to open a new ticket for this and get Customer Support to get this taken care of since the project is closed and they have done an upgrade. I will make sure to take this to the manager so this can be addressed as quickly as possible. \n \nThank you, \nShaena "",""DateCreated"":""2026-03-17T12:35:23.307Z"",""DateStarted"":""2026-03-17T12:34:07.386Z"",""OrganizationID"":1189708,""CreatorID"":4204719,""CreatorName"":""Shaena Robertson"",""IsVisibleOnPortal"":true,""IsKnowledgeBase"":false,""IsPinned"":false,""WCUserID"":null,""TimeSpent"":1}"" data-iswc=""false"" data-id=""73790220""> Shaena Robertson Comment added on 3/17/2026 8:35 AM 1 minute - 3/17/2026 8:34 AM 0 103 Public Teresa, I need to open a new ticket for this and get Customer Support to get this taken care of since the project is closed and they have done an upgrade. I will make sure to take this to the manager so this can be addressed as quickly as possible.

[2026-03-17 00:38 | Shaena Robertson] CS - TERESA OPENED UP A CLOSED PROJECT FOR THEIR NEW BILL FORMS THEY HAVE PRINTED SUCCESSFULLY AND CLOSED THE PROJECT OUT A MONTH AGO. THEY JUST GOT UPGRADED AND LOOKS LIKE THE PROGRAMMING IS NOT THERE. DON'T KNOW IF SOMEONE IN CS GAVE THEM AN OLD PLUG IN OR WHAT... BUT PLEASE HELP THEM IMMEDIATELY AS THEY CAN'T GET BILLS OUT.

[2026-03-17 01:37 | Jimmy Biondo] I confirmed with dev that the plugin in the customer;'s plugin folder ifs the correct one. I tried to log into the cloud server but it would not let me. I will conform the password and try again shortly. I notified Teresa of this.

[2026-03-17 02:36 | Jimmy Biondo] I believe it is updated. give it a try and let me know if it works.

[2026-03-17 02:38 | Jimmy Biondo] Dear , The resolution for this ticket has been provided. If the issue has not been resolved please update the ticket as soon as possible by responding in this ticket. (Please note: You have up to 7 days to notify inHANCE of any issues or concerns related to this ticket. If no issues or concerns have been noted within the 7-day window, the issue is considered complete and this ticket will automatically close.) However, if the issue has been resolved, please close the ticket and take a moment to provide your rating of the service you received.

[2026-03-17 02:53 | Teresa  Frank] It did not work... everything that was fixed on 2-25-26 is still missing on the invoice

[2026-03-17 03:03 | Jimmy Biondo] ok let me go check again.

[2026-03-17 05:17 | Teresa  Frank] Do you think this will be a long process? I am a day behind on getting bills out, I might need to start thinking of a plan B."
"21084917","Location disappears on Meter tab screen and MID tab screen","[2026-03-17 03:26 | Ruth Winters] Guys, this meter information is so, so, so screwed up. I don’t even know where to start or how to even explain all of what is going on. It is much worse than these examples show."
"21084896","City Of Cottleville","[2026-03-17 06:18 | Maria Villalba] Contacted Mark to see if they are open to exploring the cloud option for the Cottleville. Debra is aware I reached out. Depending on how my conversation with Mark goes, I’ll update Debra so she can proceed with quoting based on the final decision regarding the server migration."
"21084644","ACH PPD posted wrong date","[2026-03-16 07:54 | TAMMY CURTIS] I overlooked the date and forgot to update the payment date and posting date from 2/17/26 to 3/17/26 when posting ACH PPD. I posted CCD correctly but need the PPD posting voided. I'll attach a screenshot of the mistake.

[2026-03-17 01:27 | TAMMY CURTIS] I created this ticket as a higher priority because it's difficult for me to move on and do anything else until this is resolved. In case someone is unaware, perhaps the automated response needs updating? It says that some staff was on vacation at the end of the year but with it being the middle of March now maybe that message is no longer relevant.

[2026-03-17 01:29 | Susan Thomas] Hi Tammy, Please follow the steps below to void the existing ACH file, create a new one with the correct date, and then re‑import the payments: Void the incorrect ACH file in the system to ensure it does not get processed. Generate a new ACH file using the correct effective date. To void unwanted payments in PowerManager Utility Billing EZ, follow these steps: Go to Utility Billing > Processing > Adjustments Enter the correct Posting Date for the adjusting entries (this date will be used for both Accounts Receivable and General Ledger transactions) Click Adjust Select the customer whose payment you want to void Go to the Payments tab In the Payment Selection Grid, click on the row containing the payment you wish to void (the selected payment will be highlighted) You can identify payments by their PayDate, RefNr, Amount, PayMethod, BatchNr, and Comment Click the Void button at the bottom right (only click ONCE) The selected payment will appear in the Adjustments section at the bottom of the screen Click Save to complete the void process Important Notes: Only click the Void button once to avoid the ""Records already exist"" error message Voiding a payment generates reversing entries that cancel out the original amount If Accounts Receivable is interfaced with General Ledger, reversing entries will also be posted to General Ledger This process should be used when a check does not clear the bank or when a payment is posted to an incorrect customer

[2026-03-17 01:30 | Susan Thomas] Dear TAMMY, The resolution for this ticket has been provided. If the issue has not been resolved please update the ticket as soon as possible by responding in this ticket. (Please note: You have up to 7 days to notify inHANCE of any issues or concerns related to this ticket. If no issues or concerns have been noted within the 7-day window, the issue is considered complete and this ticket will automatically close.) However, if the issue has been resolved, please close the ticket and take a moment to provide your rating of the service you received.

[2026-03-17 01:39 | TAMMY CURTIS] There are 184 customers I would have to go through this process for. This is not realistic for me to follow these steps for each one. When I started working here a few years ago I know that Mitch was able to fix this same issue behind the scenes in a matter of minutes. Can this be done like it always was in the past?

[2026-03-17 01:47 | Mitch Mullins] The posting date now comes from the ACH file itself ever since we added the ability to include multiple withdraw dates in a single ACH file. I'd recommend Kimberly review a customer history report or customer lookup history for one of these customers to confirm the actual date used for the payment. If we confirm the wrong date was used we can work out the SQL statements that would be used to change the date.

[2026-03-17 02:12 | TAMMY CURTIS] I'm sorry Susan, it looks like the posting date was wrong for PPD AND CCD. I'm sorry, I thought I discovered my mistake before posting CCD but it must have been during. So both PPD AND CCD ACH batches need changed from 2/17/26 to 3/17/26. Batch numbers 31620261 and 31620262.

[2026-03-17 02:29 | Susan Thomas] 1648320 1649078

[2026-03-17 04:16 | Mitch Mullins] The PaymentKey is actually more useful than UBTransactions.Key. This is because we also need to delete payment records from UBBudgetTrans and UBPayments. We can confirm the total payment amount with the following query. Select Sum(Amount) From UBTransactions Where PaymentKey Between 100506 and 100719 Once we've confirmed the payment total we can update payment dates with the following SQL statements. Update UBTransactions Set PostingDate = '3/17/2026' Where PaymentKey Between 100506 and 100719; Update UBBudgetTrans Set ""Date"" = '3/17/2026' Where PaymentKey Between 100506 and 100719; Update UBPayments Set PayDate = '3/17/2026' Where ""Key"" Between 100506 and 100719; Since the GLTransKey values in UBTransactions are blank we know these amounts have not yet been posted to GL so nothing to do with GLTrans.

[2026-03-17 04:52 | Susan Thomas] I reached out to Kimberly and connected remotely. I ran the SELECT query, and Kimberly verified that the total amount was correct. After confirmation, I executed the UPDATE queries to update the ubtransactions, ubbudgettrans, and ubpayments tables. Kimberly mentioned she will run the reports shortly.

[2026-03-17 05:11 | Susan Thomas] Customer Added a Review on this ticket"
"21084450","status of ticket# 110547","[2026-03-16 06:59 | Timothy Ryan] can someone check into ticket #110547 i think it got missed?"
"21084250","CSUP - 41519  Report Designer Log in","[2026-03-16 06:20 | Dee Himes] Our IT is attempting to install the Management report designer on my new PC. The software is installed and I can access it; however, when I attempt to generate a report, it requires me to enter a username and password. I entered my GP credentials; however, it doesn't allow me access. Please see the attached video to see what it is doing.

[2026-03-16 10:25 | Lisa Ward] Entered Cogsdate Ticket"
"21084192","URGENT: Water Billing - TMA Packager and Crystal Reports - NOT WORKING","[2026-03-16 06:12 | Cristen DiPisa] It appears that the user cdipisa@aislabs.com has their out of office message turned on. Below is the automated reply we received from them: ﻿

[2026-03-16 07:24 | Chris Holloway] Hi Cristen, I called and was disconnected as they were trying to transfer me to you. Do you have a direct line, or an extension I can dial?

[2026-03-16 08:05 | Chris Holloway] Hi All, We were able to get one workstation installed with the correct version of impresa, and tested reprinting the bills to the screen. I am not aware of what the TMA Packager is or if the Crystal Reports is in reference to the CRRuntime (which allows you to reprint bills from impresa) or the full Crystal Reports program. We do not keep copies of the crystal reports program, or the product keys required to run it. Please let us know if you need any additional help with this. Steps we took: uninstalled version 4.0.9.0 installed version 4.23.2.0 (installer is in the shared Harris directory) created a Temp folder in the C:\Program Files (x86)\Harris Computer\Impresa\Reports folder gave the Impresa Directory and all folders below it full rights for the authenticated users

[2026-03-16 08:22 | Sandy Shalaby] Chris, I did a handful of meter change outs and final water bill this morning – would those have held even if they were in the older version?

[2026-03-17 02:00 | Chris Holloway] Hi Sandy, Yes, most likely, the problems with using an older version of the client with a newer version of the database are mostly visual and don't affect the data or database. If you are concerned, you can go back and spot check a few of the changes that were made, but we rarely see a problem with this in situations like yours. We sometimes will use an older version to run certain processes if a newer version has a bug on one screen, just as a temporary work around. Let us know if you need help with anything you find that may be off."
"21084177","New employee set up","[2026-03-16 05:59 | Kasey Pitchford] We had our new employees computer setup with Impressa last week. They don't see the full acct ledgers that our other computers see. Can we do a quick webex to see why and to help set up their main customer screen?

[2026-03-17 06:18 | Kasey Pitchford] This new employees computer only shows balance as of today on the customer's ledgers. It doesn't show any previous amounts. Please contact us to get this corrected."
"21084047","UniPay - Import","[2026-03-16 05:20 | Tyler Silvernail] Hi Kristen, I can help you with this. I assume they just need a mapping file with headers to know what is needed for payment? Do you already have an import process for payment taking in BillMaster or do we need to create one from scratch? Custom programming like this is billable so I just need to make sure I know what is needed.

[2026-03-16 05:20 | Tyler Silvernail] Hi Cody, We may be signing up with UniPay for online payments. They asked if you could provide a sample export file, or what the requirements would be for uploading those payments to Bill Master. If you need to speak with them I can provide you with the reps info."
"21084046","CAN WE RE-DO OUR BANK DRAFTS","[2026-03-16 05:18 | Analisa Cartwright] WHEN PROCESSING OUR BANK DRAFT I FOUND THAT ONE CUSTOMER WAS GOING TO HAVE $183,816.22 PULLED, I RE-BILLED THE CUSTOMER BUT DON'T KNOW HOW TO REDO THE ACH FILE. CAN WE REVERSE THE PROCESS BANK DRAFTS? I AM WORKING REMOTE PLEASE CALL MY CITY CELL 206-459-7208 I HAVE NOT SENT THE FILE TO THE BANK, I JUST DON'T KNOW HOW TO UPDATE THE FILE CURRENTLY IT IS SHOWING 82 CUSTOMERS FOR A TOTAL OF $219009.89. I NEED IT TO BE 81 CUSTOMERS FOR A TOTAL OF $35193.67 OR 82 CUSTOMERS FOR A TOTAL OF $35618.40 IF WE CAN RE-DO IT ALL TOGETHER. I WAS ABLE TO DELETE THE ONE WRONG LINE FROM THE FILE BUT THE TOTAL AT THE BOTTOM STILL SHOWS $219009.89

[2026-03-16 05:32 | Analisa Cartwright] I think I just figured it out. I went to batch reverse payment and put in my audit number and today’s date. It let me reverse all of those GL pmts. I am now going to try and redo my Bank drafts. Analisa Cartwright Utility Billing Lead City of Mercer Island – Finance Department 206-275-7784 Desk 206-459-7208 City Cell | mercerisland.gov Notice: Emails and attachments may be subject to disclosure pursuant to the Public Records Act (chapter 42.56 RCW). The City of Mercer Island utilizes a hybrid working environment. Please see the City’s Facility and Program Information page for City Hall and City service hours of operation.

[2026-03-16 05:48 | Analisa Cartwright] it let me reverse the payments. I tried to redo my bank drafts but the same thing happened. the one customer that I fixed, and should have pulled only 424.73 still pulled to the ach file $183816.22. I can't send that file to the bank. how do I fix that file? the process bank drafts report shows 82 customer at $219009.89 but when I go to my open transactions it shows me 81 customers at $35193.67.

[2026-03-16 07:36 | Analisa Cartwright] I am in limbo with the file. I can't send it the way it is with 82 customers at $219009.89. It should be 81 customers at $35193.67

[2026-03-16 09:34 | Jimmy Biondo] got her voice mail. She did the reversal correctly. that would remove all the draft payments for that batch. For the account, If the reading was what caused the charges to be so high, they would need to correct the reading and reapply. If it was an adjustment or something outside of calculations, that would have to be adjusted to make it correct. Once the balances are corrected, They should be able to process the draft again and create the file. I would probably recommend not paying off the accounts until she is sure the amounts pulled for drafting are correct. Once she is sure she can do the process and again process the payment at the same time. i thought perhaps I had missed them but they are 2 hours behind me. I will try again shortly and if i do not get them i will call tomorrow morning

[2026-03-16 09:35 | Analisa Cartwright] I am working remote and asked that you call my city cell at 206-459-7208. I did a re-apply to the account that had the $183,000 bill. I did not do a reprint to reprint the invoice. Are you saying that a reprint will make the corrections stick?

[2026-03-16 09:49 | Analisa Cartwright] So I reversed my payment batch again so everything zero'd out. Then I went into the messed up account did a revise print, printed the corrected invoice, then went back to bank drafts and ran them again. It worked this time.

[2026-03-17 00:53 | Jimmy Biondo] I am glad it all worked out."
"21084039","Missed Chat","[2026-03-16 05:17 | Jimmy Biondo] Missed Chat RequestFirst Name:JustinLast Name:FreyEmail:justinfrey@voewater.comQuestion:We are setting up separate user accounts on our Front office PC, and need to have the inHance software configured for these user accounts. Could we schedule a time to have this setup for our users?

[2026-03-16 05:27 | Justin Frey] Everyone is here right now. Could we get someone to contact us to get this setup?

[2026-03-16 06:30 | Jimmy Biondo] Got the back station logged into the dbase."
"21084005","User cannot login to cloud inHance after this morning&apos;s call","[2026-03-16 05:07 | Tina Drennan] After the install of Parallels/inHance Austin cannot login. The first time he opened inHance it asked for the server name. We typed Copeville and it just keeps saying it cannot connect to database.

[2026-03-16 08:09 | Jimmy Biondo] found out how to edit another user's registry settings so I could change the server name that was entered wrong."
"21083968","print payment receipt","[2026-03-16 04:56 | Ivonne Vines] Hello Harris, we moved to a new location and I'm having an issue with one of our receipt printers......is printing receipt if I shut off and then turn on receipt printer...... can you please call me on my cell#219-292-3359 at 1:15 central time if possible (we have our office phones off today)?"
"21083865","Reporting on Meter Test Data","[2026-03-16 04:24 | Kyle Cannon] Is there any way in Impresa to report on meter test data entered in the system. I have provided a couple screen shots of the meter test data entry location I am talking about."
"21083832","Elba, NE - New Name PowerManager EZ Clerk with Cash Register - Project","[2026-03-16 04:21 | Debra Laskowski] Sold PowerManager EZ Clerk UB with Cash Register Module, includes licenses, services and annual support Assigning ticket to Professional Services to track the project

[2026-03-17 04:09 | Emelia De Smet-Bacon] Dear Mark,"
"21083812","Payment status","[2026-03-17 06:43 | Andrew Jordan] Hi Diana, this was my fault, sorry. I will get it corrected so you can submit tickets and someone should be contacting you shortly. Andrew"
"21083745","From Voice mail - no message left.","[2026-03-16 03:58 | Jimmy Biondo] f

[2026-03-16 04:49 | Jimmy Biondo] Was asked to call Kurt @ 850-342-8005

[2026-03-16 04:57 | Jimmy Biondo] He needed the total usage by date report run for 10-1-2020 to 09-30-2021"
"21083740","Name/Account issue in paystar","[2026-03-16 03:57 | Tyler Silvernail] Rose, The account numbers and names are sent to us from Bill Master. I do not see an account with the name of Sherry Kern. And both the account numbers in your email show to be linked to Ida Patterson. Tyler, my the team let us know that on 1/22 we received the information for this account, which is Ida Patterson account number 54005-04. Since then we haven't received that account info in the file.

[2026-03-16 04:12 | Tyler Silvernail] Jessica, Since the edit on 1/22 - does your system keep track of all previous entries no matter what comes in on the latest paystar daily balance file? I'm just curious if these corner cases are going to keep popping up every once in a while even though the fix was implemented in January? We dont have an active/inactive datapoint being called up in that file. Thoughts? T"
"21083616","Accounts without meters showing up","[2026-03-16 03:31 | Rachel Olguin] I have a report under the report writer that is for Accounts with meters- All accounts with meters, active and inactive. But it is showing accounts without meters on them. How do I get it to stop showing these accounts?

[2026-03-16 08:37 | Jimmy Biondo] Fixed the criteria on the report and now it is exporting everyone that has a meter. Also we over their autread with them to show her how to tell how many accounts we exported"
"21083459","Add admin user to webshare","[2026-03-16 02:54 | Tyler Silvernail] Hi Dianne, Attached is the quick write up for adding an admin to webshare. If you want me to install BM I can, just let me know when Nicolette is at her workstation and I can connect via Zoho. It takes 4 minutes to add the BM.exe to her desktop."
"21083454","[EXTERNAL]Hamilton Branch Community Services District","[2026-03-16 03:09 | Jimmy Biondo] She said we created a Front login but there was not one there. I created it and made sure she could log in with it."
"21083431","Fiscal Year Close-Out Issues","[2026-03-16 02:48 | Maria Villalba] Danita has sent Shaena, Nathan and I an e-mail about an issue with the year-end fiscal year close-out process. Per Danita: ""Our inHANCE Trial Balance numbers are out of balance in 10.00.2960. Also 10.00.2994, 10.00.2995, 10.00.2996 should be clearing during the Fiscal Year close-out but they didn’t. This was brought to my attention while trying to close-out our books with the auditors. See attached report. The auditor is wondering if the Year End Close-Out process is dropping some of the steps because all other numbers are in balance. Same issue in Funds 20, 30, 40 and 50"" Attaching file shared by customer."
"21083355","Error when opening customer tab","[2026-03-16 02:31 | Kevin Riordan] The end user is reporting to me that when they open the customer tab in impressa, they receive the following error pictured in the screenshot.

[2026-03-16 04:08 | Chris Holloway] Hi Kevin, They are getting this error because they are opening impresa at version 4.22.3.0 and their database is at version 4.21.4.0. They will need to open the correct version of impresa to keep from getting this error, and we may need to clear their profile settings from the SQL server to correct this for them. Please check to see if they have impresa version 4.21.4.0 installed on their workstation. They may have been testing version 4.22.3.0. This screen clipping is from the one you provided: These numbers should match before they attempt to open the customer screen. For example, this screen clipping below was taken from the server:

[2026-03-16 07:07 | Chris Holloway] Hi All, We uninstalled and reinstalled the correct version of the software and tested everything out. They should be good to go now.

[2026-03-17 00:14 | Kevin Riordan] I'm so sorry to have to reopen a closed ticket as I understand that it is very frustrating. However, the end user is now reporting that they are now missing required information from the customer/balance tab.

[2026-03-17 02:39 | Chris Holloway] Hi Kevin, Please have the user click the Period drop down and scroll to the bottom of the list to select all periods. also, they may need to click the Include Inactives Process on the ribbon at the top of the screen. This is a common one that gets missed with updates."
"21083349","Meter reading issue","[2026-03-16 02:30 | Amy Wegener] Meter reading in Maintenance File but nothing in manual entry. Need to change readings for 4117004

[2026-03-16 04:14 | Susan Thomas] I connected with Nicole remotely to troubleshoot her issue. She was unable to see the meter in the manual entry screen. Upon review, we found that both the electric and water meters were missing from the billing meters section. We added the missing meters, corrected the readings for both, and uncomputed the March charges. Nicole will decide whether she wants to void February, rebill, and complete the full process before entering the March readings."
"21083339","Error when attempting to connect to database","[2026-03-16 02:29 | Kevin Riordan] Good morning, An end user is reporting to me that when they sign on to this computer and attempt to connect to the database, they receive the following error. Please assist as this is a time critical issue.

[2026-03-16 03:31 | Chris Holloway] Hi Kevin, Is this office wide, or is this a specific workstation? I am jumping on your server now to take a look.

[2026-03-16 03:54 | Chris Holloway] Hi Kevin, Please check to see if you can log in now.

[2026-03-16 07:09 | Chris Holloway] Hi All, We found that after I was able to connect to the server and get into impresa there, the issue cleared up for the current user. We tested this on their machine. Please let us know if you run into any more challenges for this."
"21083312","Has several issues she needs to discuss","[2026-03-16 02:22 | Jimmy Biondo] This is Mary Williams with the city of Peru. I have left several messages for you. We are still having a problem with your billing issues. Please call me back at 402-872-6685 and speak with Mary or Dennis. We this is like the 20th message,

[2026-03-16 07:04 | Susan Thomas] I spoke with Donald. He informed me that Mary and Dennis are out until Friday. I will follow up and call again on Friday."
"21083295","Name Merging","[2026-03-16 02:16 | Tyler Silvernail] Good Morning Tyler, I recall either Christi or I emailing you regarding King Salmon Mall LLC in the past. Christi is out of the office and will be out all next week as well. What needs to happen with the above multiple accounts is: Account: 51615-05 51620-05 51625-05 51635-05 51640-05 51645-03 51716-04 - All have the same Billing ID which is 232 00002979 One Account 51590-02 was left out with merging into one billing ID and this account number is Billing ID 232 00004253. Can you please make the last account I mentioned the same Billing ID as 232 00002979.

[2026-03-16 02:38 | Tyler Silvernail] Hi Rose, This is done."
"21083157","Copeville -H20 setup on cloud","[2026-03-16 01:38 | Shaena Robertson] Jimmy is talking to your H2O Analytics vendor this afternoon and will get the information needed for us to open up the communication to the database for their application. We will keep you updated and let you know once we have gotten that opened up on our side. Then you and H2O Analytics vendor can test out communication."
"21083140","Copeville - Install Parallels on 2 new pcs","[2026-03-16 01:33 | Shaena Robertson] Nathan will be calling shortly to Install Parallels on 2 new pcs.

[2026-03-16 02:28 | Nathan Loan] Installed Parallels on Austin's workstation and he was able to log in after resetting his password. Matthew already had Parallels installed, so I just had to reset his password and he was able to log in."
